System Type,Architecture,Chunking,Embedding,Database,Answer Accuracy,Retrieval Precision,Hallucination Reduction,Response Time (s)
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,4.8,1.0,5.0,8.95
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,5.0,2.5,5.0,9.11
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,4.7,5.0,5.0,9.29
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,2.5,1.0,5.0,9.25
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,2.1,1.0,5.0,9.59
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,2.8,1.0,5.0,9.96
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,5.0,4.2,5.0,8.55
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,3.5,3.8,5.0,10.39
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,5.0,1.7,5.0,8.96
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,5.0,3.2,5.0,9.24
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,5.0,1.7,5.0,9.28
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,2.2,1.0,5.0,8.55
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,2.5,1.0,5.0,8.95
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,2.3,2.5,5.0,9.26
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,4.8,5.0,3.9,8.95
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,5.0,5.0,5.0,8.85
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,5.0,1.0,5.0,8.57
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,4.4,3.8,5.0,8.58
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,2.3,4.0,5.0,9.21
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,4.6,2.1,4.6,9.71
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,3.4,1.0,5.0,8.96
With RAG,Naive RAG,Fixed,BGE embeddings,FAISS,4.8,4.2,5.0,9.48
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,4.0,3.8,5.0,10.38
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,5.0,5.0,5.0,8.73
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,5.0,1.2,5.0,9.19
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,5.0,1.7,5.0,15.13
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,2.5,1.0,5.0,8.28
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,2.5,1.0,5.0,9.45
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,2.0,1.0,5.0,9.89
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,4.8,4.6,4.4,9.59
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,5.0,5.0,5.0,9.46
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,5.0,1.7,5.0,9.18
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,4.0,3.8,3.3,8.42
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,2.4,5.0,5.0,9.36
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,5.0,5.0,5.0,9.69
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,2.7,5.0,5.0,9.59
With RAG,Naive RAG,Fixed,BGE embeddings,ChromaDB,5.0,1.0,5.0,11.93
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,5.0,4.6,5.0,9.83
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,5.0,5.0,5.0,11.9
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,4.6,3.8,5.0,9.1
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,1.3,1.0,5.0,10.88
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,2.3,1.0,5.0,9.05
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,2.3,1.0,5.0,9.86
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,1.8,1.2,5.0,8.63
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,3.9,1.0,5.0,9.04
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,4.8,2.9,1.4,9.57
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,5.0,3.8,5.0,8.41
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,5.0,2.5,4.6,8.99
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,4.8,4.0,5.0,9.13
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,2.5,5.0,5.0,10.28
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,2.3,2.5,5.0,9.28
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,2.3,1.0,5.0,9.8
With RAG,Naive RAG,Recursive,SentenceTransformers,FAISS,3.1,1.0,5.0,10.0
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,5.0,4.2,5.0,9.96
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,4.5,5.0,5.0,9.12
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,5.0,5.0,5.0,9.7
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,2.1,1.0,4.3,9.04
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,4.8,5.0,5.0,9.82
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,1.2,1.2,5.0,9.21
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,4.5,1.0,5.0,10.7
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,4.8,2.5,3.6,10.86
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,5.0,2.5,5.0,9.11
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,4.6,2.5,3.9,8.89
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,4.8,4.2,5.0,9.22
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,2.5,5.0,5.0,9.72
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,2.3,2.9,5.0,8.34
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,2.8,1.0,5.0,8.31
With RAG,Naive RAG,Recursive,SentenceTransformers,ChromaDB,2.5,1.0,4.3,9.27
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,5.0,5.0,5.0,9.23
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,4.6,2.9,5.0,9.28
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,5.0,2.5,5.0,9.67
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,4.6,1.0,5.0,8.97
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,2.2,1.0,5.0,8.47
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,2.3,5.0,5.0,8.81
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,2.3,2.5,5.0,9.44
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,3.6,1.7,5.0,9.07
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,5.0,5.0,5.0,9.59
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,4.5,2.5,5.0,9.59
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,5.0,4.0,5.0,8.99
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,2.3,4.0,5.0,8.85
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,4.7,2.1,5.0,10.29
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,1.9,1.0,5.0,8.89
With RAG,Naive RAG,Recursive,BGE embeddings,FAISS,4.8,1.0,5.0,9.4
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,4.5,3.8,5.0,9.02
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,5.0,5.0,5.0,8.88
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,5.0,1.0,5.0,8.65
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,2.5,1.2,5.0,9.35
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,2.5,1.0,5.0,8.75
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,2.3,5.0,5.0,9.09
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,2.0,1.7,5.0,10.23
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,4.1,1.7,5.0,9.01
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,5.0,5.0,5.0,9.15
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,5.0,1.2,5.0,9.37
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,4.8,4.2,5.0,10.74
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,2.0,5.0,5.0,10.94
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,4.8,5.0,5.0,9.73
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,2.5,1.0,5.0,8.62
With RAG,Naive RAG,Recursive,BGE embeddings,ChromaDB,4.8,1.7,5.0,9.04
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,4.5,2.9,5.0,10.07
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,5.0,5.0,5.0,9.51
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,4.6,3.8,5.0,10.1
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,1.9,1.0,5.0,8.23
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,2.2,1.7,5.0,9.74
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,2.5,1.0,5.0,8.81
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,5.0,1.0,5.0,10.04
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,4.4,2.5,5.0,9.18
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,5.0,5.0,5.0,11.05
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,4.8,4.2,5.0,8.95
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,5.0,3.8,5.0,7.84
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,2.3,5.0,5.0,9.29
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,2.3,2.5,5.0,9.02
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,2.1,1.0,5.0,9.21
With RAG,Naive RAG,Semantic,SentenceTransformers,FAISS,3.1,5.0,5.0,9.05
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,5.0,1.7,5.0,10.83
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,4.5,5.0,5.0,8.27
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,5.0,5.0,5.0,8.57
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,1.9,1.0,5.0,8.92
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,4.8,5.0,5.0,9.83
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,2.1,1.2,5.0,8.98
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,5.0,1.0,5.0,8.81
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,3.5,2.1,5.0,8.59
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,4.4,4.6,5.0,8.84
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,4.7,3.8,4.4,8.82
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,3.9,5.0,5.0,9.22
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,2.3,5.0,5.0,9.54
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,2.3,2.9,5.0,9.58
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,2.8,1.0,5.0,8.7
With RAG,Naive RAG,Semantic,SentenceTransformers,ChromaDB,3.1,1.7,5.0,9.56
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,4.5,3.8,5.0,10.22
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,4.3,5.0,5.0,11.04
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,4.2,2.5,5.0,8.15
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,4.8,1.0,5.0,8.55
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,2.2,1.0,5.0,8.39
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,1.8,1.0,5.0,8.99
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,2.3,2.5,5.0,9.1
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,4.0,5.0,3.1,9.57
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,2.5,5.0,5.0,9.06
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,4.8,2.5,5.0,8.91
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,4.6,3.8,5.0,8.65
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,2.3,2.1,5.0,9.86
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,4.7,2.1,5.0,9.43
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,2.0,1.0,5.0,10.78
With RAG,Naive RAG,Semantic,BGE embeddings,FAISS,4.6,4.2,5.0,12.92
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,4.4,4.2,5.0,10.82
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,5.0,5.0,5.0,7.51
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,5.0,5.0,5.0,6.61
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,5.0,3.8,5.0,7.36
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,2.5,1.0,5.0,7.81
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,2.1,1.0,5.0,7.25
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,1.9,1.0,5.0,6.44
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,4.8,1.2,3.1,6.98
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,5.0,1.0,5.0,6.92
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,4.8,2.5,5.0,6.68
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,4.7,5.0,5.0,8.22
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,2.3,1.0,5.0,7.33
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,4.7,5.0,5.0,7.51
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,2.8,1.0,5.0,7.28
With RAG,Naive RAG,Semantic,BGE embeddings,ChromaDB,4.7,1.2,5.0,7.11
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,5.0,2.1,5.0,8.39
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,5.0,5.0,5.0,7.46
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,5.0,3.8,5.0,6.87
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,2.5,1.0,5.0,6.37
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,2.2,1.0,5.0,6.89
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,3.1,1.7,5.0,6.65
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,4.6,1.0,5.0,7.17
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,3.9,1.0,5.0,6.73
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,5.0,5.0,5.0,6.63
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,5.0,2.9,5.0,8.96
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,4.4,4.2,5.0,7.01
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,2.5,3.2,5.0,7.34
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,2.1,2.5,5.0,7.07
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,1.4,1.0,4.0,6.41
With RAG,Hybrid RAG,Fixed,SentenceTransformers,FAISS,5.0,5.0,5.0,6.98
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,4.5,2.1,5.0,8.48
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,4.2,5.0,5.0,7.35
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,4.8,5.0,5.0,6.62
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,2.1,1.0,5.0,8.22
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,5.0,5.0,5.0,6.85
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,2.5,3.2,5.0,7.19
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,4.1,1.0,5.0,7.21
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,3.1,1.2,5.0,6.83
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,4.8,1.0,5.0,6.7
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,5.0,2.5,5.0,7.35
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,4.4,4.2,5.0,6.47
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,2.1,1.0,5.0,6.72
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,2.0,2.5,5.0,7.06
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,2.8,1.0,5.0,6.73
With RAG,Hybrid RAG,Fixed,SentenceTransformers,ChromaDB,5.0,5.0,5.0,7.16
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,4.5,3.8,5.0,7.27
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,5.0,5.0,5.0,14.6
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,5.0,3.2,5.0,8.79
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,3.0,1.0,5.0,7.09
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,2.0,1.0,5.0,6.93
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,2.5,1.0,5.0,7.06
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,2.3,2.5,5.0,6.69
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,4.8,5.0,3.9,7.06
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,5.0,5.0,5.0,6.5
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,5.0,1.0,5.0,6.54
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,4.8,3.8,4.3,6.96
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,2.3,4.2,5.0,6.58
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,4.7,4.0,5.0,9.0
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,2.3,5.0,5.0,6.79
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,4.8,2.1,5.0,7.14
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,3.4,1.0,5.0,6.96
With RAG,Hybrid RAG,Fixed,BGE embeddings,FAISS,4.8,4.2,5.0,7.29
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,3.5,3.8,5.0,15.78
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,5.0,5.0,5.0,7.26
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,5.0,1.2,5.0,6.93
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,3.0,1.7,5.0,7.27
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,2.5,1.0,5.0,6.66
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,2.5,2.9,5.0,6.61
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,1.9,1.0,5.0,6.75
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,4.8,4.6,5.0,6.99
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,5.0,5.0,5.0,6.74
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,5.0,1.0,5.0,6.66
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,4.0,3.8,3.3,6.84
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,2.3,5.0,5.0,8.37
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,5.0,5.0,5.0,6.96
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,2.7,1.0,5.0,6.51
With RAG,Hybrid RAG,Fixed,BGE embeddings,ChromaDB,5.0,1.0,5.0,7.26
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,4.5,5.0,5.0,7.31
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,5.0,5.0,5.0,7.1
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,4.5,3.8,5.0,6.88
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,1.4,1.0,5.0,7.03
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,2.3,1.0,5.0,6.6
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,1.2,1.2,5.0,6.42
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,3.9,1.0,5.0,6.67
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,4.8,1.7,1.4,7.31
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,5.0,3.8,5.0,6.6
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,5.0,2.5,5.0,7.25
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,4.8,4.2,5.0,6.66
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,2.5,5.0,5.0,6.63
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,2.3,2.5,5.0,6.93
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,2.1,1.0,5.0,6.82
With RAG,Hybrid RAG,Recursive,SentenceTransformers,FAISS,2.5,1.0,5.0,7.06
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,5.0,5.0,5.0,7.33
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,4.5,5.0,5.0,7.08
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,5.0,5.0,5.0,6.38
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,3.8,1.0,5.0,7.61
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,4.8,1.0,5.0,6.92
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,1.2,1.2,5.0,6.29
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,4.5,1.0,5.0,6.64
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,4.8,1.2,3.6,6.68
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,5.0,2.5,5.0,6.73
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,5.0,2.5,5.0,6.97
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,4.8,4.2,5.0,6.56
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,2.5,4.6,5.0,6.79
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,2.3,1.0,5.0,7.2
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,2.8,1.0,5.0,6.32
With RAG,Hybrid RAG,Recursive,SentenceTransformers,ChromaDB,2.5,1.0,5.0,9.76
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,5.0,3.8,5.0,7.87
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,4.4,5.0,5.0,9.33
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,5.0,2.5,5.0,6.16
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,4.6,1.0,5.0,6.79
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,2.2,1.0,5.0,7.01
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,3.0,4.2,5.0,6.73
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,2.3,2.5,5.0,6.77
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,3.6,1.0,5.0,6.33
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,5.0,1.0,5.0,6.82
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,4.7,2.5,5.0,6.51
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,4.6,3.8,5.0,6.37
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,2.3,4.0,5.0,6.65
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,4.7,4.0,4.7,7.43
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,1.7,1.0,5.0,6.81
With RAG,Hybrid RAG,Recursive,BGE embeddings,FAISS,4.8,1.0,5.0,6.69
